165,4.380713,9.326609,2.224905
166,4.430172,9.430195,2.259830
167,4.480172,9.534799,2.295581
168,4.530719,9.640424,2.332177
169,4.581816,9.747077,2.369636
170,4.633468,9.854764,2.407977
171,4.685681,9.963489,2.447217
172,4.738459,10.073257,2.487377
173,4.791807,10.184075,2.528476
174,4.845730,10.295945,2.570534
175,4.900232,10.408874,2.613571
176,4.955319,10.522864,2.657607
177,5.010994,10.637921,2.702664
178,5.067263,10.754048,2.748764
179,5.124131,10.871248,2.795928
180,5.181602,10.989526,2.844178
181,5.239682,11.108884,2.893537
182,5.298374,11.229325,2.944028
183,5.357683,11.350852,2.995675
184,5.417615,11.473466,3.048501
185,5.478173,11.597170,3.102530
186,5.539363,11.721966,3.157788
187,5.601189,11.847854,3.214300
188,5.663656,11.974835,3.272091
189,5.726768,12.102911,3.331187
190,5.790529,12.232081,3.391615
191,5.854945,12.362344,3.453401
192,5.920019,12.493701,3.516573
193,5.985756,12.626149,3.581158
194,6.052159,12.759688,3.647186
195,6.119235,12.894316,3.714684
196,6.186986,13.030029,3.783682
197,6.255416,13.166825,3.854209
198,6.324530,13.304700,3.926295
199,6.394332,13.443650,3.999971
200,6.464825,13.583671,4.075268
201,6.536013,13.724756,4.152217
202,6.607901,13.866901,4.230850
203,6.680491,14.010098,4.311199
204,6.753787,14.154341,4.393297
205,6.827792,14.299621,4.477177
206,6.902511,14.445931,4.562873
207,6.977945,14.593260,4.650419
208,7.054098,14.741599,4.739849
209,7.130973,14.890936,4.831199
210,7.208573,15.041262,4.924503
211,7.286900,15.192562,5.019797
212,7.365956,15.344824,5.117118
213,7.445745,15.498033,5.216502
214,7.526268,15.652175,5.317986
215,7.607527,15.807234,5.421608
216,7.689524,15.963192,5.527404
217,7.772261,16.120033,5.635414
218,7.855738,16.277736,5.745676
219,7.939958,16.436282,5.858228
220,8.024922,16.595651,5.973110
221,8.110629,16.755819,6.090361
222,8.197081,16.916764,6.210021
223,8.284278,17.078462,6.332129
224,8.372219,17.240886,6.456726
225,8.460906,17.404010,6.583853
226,8.550337,17.567806,6.713551
227,8.640512,17.732245,6.845859
228,8.731429,17.897295,6.980819
229,8.823088,18.062925,7.118473
230,8.915486,18.229102,7.258862
231,9.008622,18.395790,7.402027
232,9.102494,18.562954,7.548009
233,9.197099,18.730555,7.696851
234,9.292433,18.898554,7.848593
235,9.388494,19.066911,8.003278
236,9.485279,19.235584,8.160946
237,9.582782,19.404527,8.321639
238,9.680999,19.573696,8.485398
239,9.779926,19.743043,8.652263
240,9.879557,19.912520,8.822277
241,9.979887,20.082074,8.995478
242,10.080909,20.251655,9.171908
243,10.182616,20.421208,9.351605
244,10.285002,20.590676,9.534609
245,10.388059,20.760002,9.720959
246,10.491778,20.929126,9.910694
247,10.596152,21.097986,10.103850
248,10.701170,21.266518,10.300464
249,10.806824,21.434657,10.500574
250,10.913102,21.602336,10.704213
251,11.019994,21.769484,10.911418
252,11.127489,21.936031,11.122221
253,11.235575,22.101902,11.336656
254,11.344238,22.267022,11.554753
255,11.453466,22.431314,11.776543
256,11.563244,22.594698,12.002056
257,11.673559,22.757091,12.231320
258,11.784394,22.918411,12.464360
259,11.895734,23.078570,12.701202
